Id,Title,Track,Start Time,Description,Speakers
EPZ5MYCV,Registration & Morning Coffee,,2025-11-18T06:00:00.000Z,,
YFGPHBN1,Domain-driven API Design,,2025-11-18T07:00:00.000Z,"1. Abstract 
Participants will discover how Domain-Driven Design and modern API craftsmanship align to turn business language into executable interfaces… more",Annegret Junker
HPCRVQ43,Eval‑First GenAI: Hands‑On Evaluation Frameworks for Agentic LLM Applications,,2025-11-18T07:00:00.000Z,"1. Abstract
Modern GenAI applications aren’t single prompts—they’re agentic systems that plan, retrieve, and call tools. Shipping them reliably requires… more",Yann Stoneman
AK5MXVP7,Data Engineering with Azure Databricks,,2025-11-18T07:00:00.000Z,"Abstract
The Data Engineering with Azure Databricks workshop is a comprehensive, hands-on
training session designed to equip participants with essential… more",Raghav Matta; Vivek Singh
30R3DO1D,Full-Stack Fabric: Complete Data Pipeline Engineering Workshop,,2025-11-18T07:00:00.000Z,"1. Abstract
This intensive hands-on workshop guides participants through building a complete end-to-end lakehouse solution using Microsoft Fabric. Participants… more",Estera Kot; Przemek Harazny
IPHQX9SN,Analyse your workflows and upgrade them with AI,,2025-11-18T07:00:00.000Z,"1. Abstract

Analyze your workflows and upgrade them with AI
Are you bogged down by inefficient workflows but view AI as too complex to help? This intensive… more",Peter Mesarec
Q3URMPA6,LLMs and LangChain - Getting Started Guide,,2025-11-18T07:00:00.000Z,"Abstract

Would you like to do something more than just create prompts for ChatGPT? How about building an application—an application that utilizes the… more",Marcin Szymaniuk; Bartek Sadlej
TE5H2C6A,AI For Leaders: Turn Chaos into Clarity — A Get-it-Done Game Plan for Leaders Who Want Results Yesterday,,2025-11-18T07:00:00.000Z,"1. Abstract
You’ll walk in with questions and walk out with more clarity, empowered as a leader.
Grounded in both theory and action, this session helps… more",Marty Weintraub
P86XYFSW,Registration & Morning Coffee,,2025-11-19T06:00:00.000Z,"A moment to relax, recharge, and enjoy networking with others.",
K7GLPL3K,Robots Among Us: Advances in AI for Everyday Androids,"Applied AI, Data Science & MLOps",2025-11-19T07:00:00.000Z,"Robotics is transitioning from factory floors to our everyday lives, particularly through humanoid robots. This session features a live demonstration… more",Thomas Endres; Florian Gather
X2LMRP4A,Apache Spark's New Declarative Streaming Pipelines in Action: Processing Live Aircraft Data,Real-Time & Event-Driven Systems,2025-11-19T08:10:00.000Z,This hands-on session demonstrates building a complete streaming analytics platform processing 8 billion daily flight events using Spark's newly open-sourced… more,Frank Munz
M43JV2D5,How We Created a Thinking Robot?,"LLMs, RAG & Generative AI in Practice",2025-11-19T08:10:00.000Z,"Imagine a fully autonomous robot—intelligent enough to make independent life decisions. A robot that can clean your office, deliver a package, or even… more",Grigorij Dudnik
7F4J7927,"Latency, Throughput & Fault Tolerance: Building a Modern Database",AI & Data Platforms,2025-11-19T08:10:00.000Z,"What are the key concepts and design decisions behind modern, scalable, and highly performant databases?
In this deep dive, you will explore the core… more",Guy Shtub
0XC77YMO,Build Without Limits - Lessons Learned Working With Data and AI Coding Assistants,Developer Enablement & AI Integration,2025-11-19T08:10:00.000Z,"Next-generation developer tools that incorporate generative AI are everywhere, but how good are they? More importantly, how useful are they to people… more",Ricardo Sueiras
UOXWGEO2,Enhancing Marketplace Competitiveness: A Bayesian Approach to the Cold Start Problem,"Applied AI, Data Science & MLOps",2025-11-19T08:10:00.000Z,This session delves into the innovative application of Bayesian methodology to solving the ranking cold-start problem in competitive marketplaces. Attendees… more,Agustin Figueroa Nazar
D5DQNSDO,Exhibition,,2025-11-19T08:55:00.000Z,,
CXS06BX2,Deep Dive into Data Streaming security,"Data Privacy, Security & Compliance",2025-11-19T09:20:00.000Z,Data streaming… more,Olena Kutsenko
AQANAL5H,Hitchhiker’s Guide for Software Architects: Legacy Migration with the Strangler-Fig Pattern,Cloud Platforms & Architecture,2025-11-19T09:20:00.000Z,"Legacy code is an omnipresent challenge in software development, often causing missed deadlines, frustration within the team, and customer dissatisfaction… more",Marc Schuh
PKFOORV9,Beyond Black-Box AI: Designing Transparent Automation for Regulated Industries,,2025-11-19T09:20:00.000Z,"Enterprises could significantly boost their bottom lines by adopting AI, yet adoption remains surprisingly low. According to AWS, while 25% of businesses… more",David Villalon
09D8TWR2,Running Non-Cloud-Native Databases in Cloud-Native Environments: Challenges and Solutions,Cloud Platforms & Architecture,2025-11-19T09:20:00.000Z,Adapting non-cloud-native databases like MySQL and PostgreSQL for cloud-native environments presents unique challenges. From scalability and elasticity… more,Alkin Tezuysal
T4B0L3AR,How to Analyze Terabytes of Data from GitHub Archive at High Speed,"Data Engineering, Pipelines & DataOps",2025-11-19T09:20:00.000Z,"GitHub provides a public API for obtaining detailed information about various events performed by users across public repositories, such as git pushes… more",Aliaksandr Valialkin
3LSAJAFG,Securing RAG Pipelines with Fine Grained Authorization,"LLMs, RAG & Generative AI in Practice",2025-11-19T10:15:00.000Z,Building enterprise-ready AI requires ensuring that users can only augment prompts with data they are authorized to access… more,Sohan Maheshwar
JD20UB08,Behind the Firewall: Designing Secure LLM Pipelines for Regulated Data,"LLMs, RAG & Generative AI in Practice",2025-11-19T10:15:00.000Z,"In regulated environments, “just calling the API” is not an option. In this session, Yann Stoneman walks through a reference architecture for running… more",Yann Stoneman
LGEV3X0H,Data Modeling 101 for Data Lakehouse Demystified,AI & Data Platforms,2025-11-19T10:15:00.000Z,"In today’s data-driven world, the Data Lakehouse has emerged as a powerful architectural paradigm, combining the flexibility of data lakes with the reliability… more",Luan Moreno Medeiros Maciel
QKW3H5V4,Investigation: Data Platforms on European Cloud Providers,Cloud Platforms & Architecture,2025-11-19T10:15:00.000Z,"The researchers investigated the availability of European cloud provider alternatives for enterprise-grade data platforms, with a primary focus on analytics… more",Gergely Soti
WGUE2YMT,Exhibition,,2025-11-19T11:00:00.000Z,"A conference lunch break is the perfect mix of food and conversation. You share ideas, swap business cards, and make new connections. 
By the end, you're… more",
LWU2VOU6,Hyperpersonalization with Agents: Building Next-Generation MarTech Solutions,,2025-11-19T11:10:00.000Z,"Articles are increasingly filled with buzzwords like hyper-personalization, AI-driven marketing, and seamless user experience. However, adapting to rapid… more",Nensi Hakobjanyan
