feedback_id,attendee_id,session_id,rating,comments
FB00001,ATT00001,5DC0AXXL,5,"Really enjoyed it, would love more technical details"
FB00002,ATT00002,5DC0AXXL,3,Would benefit from more Q&A time
FB00005,ATT00005,5DC0AXXL,3,"Decent presentation, could be more interactive"
FB00006,ATT00006,5DC0AXXL,3,Would be better with more hands-on exercises
FB00007,ATT00007,5DC0AXXL,5,"Really enjoyed it, would love more technical details"
FB00008,ATT00008,5DC0AXXL,3,"Decent presentation, could be more interactive"
FB00010,ATT00010,5DC0AXXL,4,"Great presentation, could include more case studies"
FB00011,ATT00011,5DC0AXXL,3,Good overview but could use more detailed explanations
FB00012,ATT00012,5DC0AXXL,4,"Really enjoyed it, would love more technical details"
FB00013,ATT00013,5DC0AXXL,3,Would benefit from more Q&A time
FB00014,ATT00014,5DC0AXXL,4,"Excellent content, maybe add more advanced topics"
FB00015,ATT00015,5DC0AXXL,2,Technical issues disrupted the flow
FB00016,ATT00016,5DC0AXXL,3,Solid content but slides need improvement
FB00017,ATT00017,5DC0AXXL,5,"Perfect pace, could include more industry examples"
FB00018,ATT00018,5DC0AXXL,3,Would be better with more hands-on exercises
FB00020,ATT00020,5DC0AXXL,3,Would benefit from more Q&A time
FB00021,ATT00021,5DC0AXXL,3,"Decent presentation, could be more interactive"
FB00022,ATT00022,5DC0AXXL,5,"Well structured, could add more interactive elements"
FB00023,ATT00023,5DC0AXXL,5,"Fantastic session, consider adding workshop elements"
FB00024,ATT00024,5DC0AXXL,5,"Perfect pace, could include more industry examples"
FB00026,ATT00026,5DC0AXXL,4,"Really enjoyed it, would love more technical details"
FB00027,ATT00027,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00029,ATT00029,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00030,ATT00030,5DC0AXXL,4,"Perfect pace, could include more industry examples"
FB00031,ATT00031,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00032,ATT00032,5DC0AXXL,4,"Amazing content, perhaps add more time for questions"
FB00033,ATT00033,5DC0AXXL,5,"Well structured, could add more interactive elements"
FB00034,ATT00034,5DC0AXXL,5,"Really enjoyed it, would love more technical details"
FB00035,ATT00035,5DC0AXXL,4,"Great presentation, could include more case studies"
FB00036,ATT00036,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00037,ATT00037,5DC0AXXL,4,"Excellent content, maybe add more advanced topics"
FB00038,ATT00038,5DC0AXXL,3,"Decent presentation, could be more interactive"
FB00039,ATT00039,5DC0AXXL,5,"Fantastic session, consider adding workshop elements"
FB00041,ATT00041,5DC0AXXL,3,"Decent presentation, could be more interactive"
FB00042,ATT00042,5DC0AXXL,3,Nice presentation but too much theory
FB00043,ATT00043,5DC0AXXL,2,Slides were hard to read
FB00044,ATT00044,5DC0AXXL,5,"Really enjoyed it, would love more technical details"
FB00045,ATT00045,5DC0AXXL,4,"Great presentation, could include more case studies"
FB00046,ATT00046,5DC0AXXL,2,Needed more practical examples
FB00048,ATT00048,5DC0AXXL,3,Interesting topic but needed more depth
FB00049,ATT00049,5DC0AXXL,5,"Really enjoyed it, would love more technical details"
FB00050,ATT00050,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00051,ATT00051,5DC0AXXL,5,"Great presentation, could include more case studies"
FB00053,ATT00053,5DC0AXXL,3,"Decent presentation, could be more interactive"
FB00056,ATT00056,5DC0AXXL,1,Content was too advanced for the target audience
FB00057,ATT00057,5DC0AXXL,3,Nice presentation but too much theory
FB00058,ATT00058,5DC0AXXL,4,"Excellent content, maybe add more advanced topics"
FB00059,ATT00059,5DC0AXXL,3,Solid content but slides need improvement
FB00060,ATT00060,5DC0AXXL,4,"Perfect pace, could include more industry examples"
FB00061,ATT00061,5DC0AXXL,3,Would benefit from more Q&A time
FB00062,ATT00062,5DC0AXXL,3,Would be better with more hands-on exercises
FB00063,ATT00063,5DC0AXXL,4,"Really enjoyed it, would love more technical details"
FB00064,ATT00064,5DC0AXXL,4,"Excellent content, maybe add more advanced topics"
FB00066,ATT00066,5DC0AXXL,5,"Amazing content, perhaps add more time for questions"
FB00068,ATT00068,5DC0AXXL,2,More code examples would be helpful
FB00069,ATT00069,5DC0AXXL,5,"Very informative, would love more deep dives"
FB00070,ATT00070,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00071,ATT00071,5DC0AXXL,5,"Amazing content, perhaps add more time for questions"
FB00072,ATT00072,5DC0AXXL,3,Would benefit from more Q&A time
FB00073,ATT00073,5DC0AXXL,4,"Perfect pace, could include more industry examples"
FB00074,ATT00074,5DC0AXXL,2,Content was too advanced for the target audience
FB00076,ATT00076,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00077,ATT00077,5DC0AXXL,5,"Fantastic session, consider adding workshop elements"
FB00078,ATT00078,5DC0AXXL,2,Could use more interactive elements
FB00079,ATT00079,5DC0AXXL,2,The pace was too fast to follow
FB00080,ATT00080,5DC0AXXL,2,Needed more practical examples
FB00081,ATT00081,5DC0AXXL,5,"Fantastic session, consider adding workshop elements"
FB00082,ATT00082,5DC0AXXL,5,"Perfect pace, could include more industry examples"
FB00083,ATT00083,5DC0AXXL,5,"Very informative, would love more deep dives"
FB00085,ATT00085,5DC0AXXL,3,Would benefit from more Q&A time
FB00086,ATT00086,5DC0AXXL,3,Nice presentation but too much theory
FB00087,ATT00087,5DC0AXXL,5,"Well structured, could add more interactive elements"
FB00088,ATT00088,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00089,ATT00089,5DC0AXXL,1,Technical issues disrupted the flow
FB00090,ATT00090,5DC0AXXL,5,"Very informative, would love more deep dives"
FB00091,ATT00091,5DC0AXXL,3,Solid content but slides need improvement
FB00092,ATT00092,5DC0AXXL,2,Content felt disorganized
FB00093,ATT00093,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00094,ATT00094,5DC0AXXL,3,Good overview but could use more detailed explanations
FB00095,ATT00095,5DC0AXXL,2,Content felt disorganized
FB00096,ATT00096,5DC0AXXL,5,"Amazing content, perhaps add more time for questions"
FB00097,ATT00097,5DC0AXXL,2,Could use more interactive elements
FB00098,ATT00098,5DC0AXXL,3,Interesting topic but needed more depth
FB00099,ATT00099,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00100,ATT00100,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00101,ATT00101,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00102,ATT00102,5DC0AXXL,3,Interesting topic but needed more depth
FB00103,ATT00103,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00105,ATT00105,5DC0AXXL,5,"Really enjoyed it, would love more technical details"
FB00106,ATT00106,5DC0AXXL,4,"Amazing content, perhaps add more time for questions"
FB00107,ATT00107,5DC0AXXL,3,Good overview but could use more detailed explanations
FB00108,ATT00108,5DC0AXXL,2,Content felt disorganized
FB00110,ATT00110,5DC0AXXL,3,Would benefit from more Q&A time
FB00111,ATT00111,5DC0AXXL,2,Needed more practical examples
FB00112,ATT00112,5DC0AXXL,5,"Excellent content, maybe add more advanced topics"
FB00113,ATT00113,5DC0AXXL,5,"Really enjoyed it, would love more technical details"
FB00114,ATT00114,5DC0AXXL,2,The pace was too fast to follow
FB00115,ATT00115,5DC0AXXL,5,"Really enjoyed it, would love more technical details"
FB00116,ATT00116,5DC0AXXL,4,"Great presentation, could include more case studies"
FB00117,ATT00117,5DC0AXXL,4,"Perfect pace, could include more industry examples"
FB00118,ATT00118,5DC0AXXL,5,"Fantastic session, consider adding workshop elements"
FB00119,ATT00119,5DC0AXXL,3,Would benefit from more Q&A time
FB00120,ATT00120,5DC0AXXL,2,Content was too advanced for the target audience
FB00121,ATT00121,5DC0AXXL,3,Good overview but could use more detailed explanations
FB00122,ATT00122,5DC0AXXL,5,"Amazing content, perhaps add more time for questions"
FB00123,ATT00123,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00125,ATT00125,5DC0AXXL,3,Solid content but slides need improvement
FB00127,ATT00127,5DC0AXXL,4,"Really enjoyed it, would love more technical details"
FB00128,ATT00128,5DC0AXXL,5,"Really enjoyed it, would love more technical details"
FB00130,ATT00130,5DC0AXXL,5,"Well structured, could add more interactive elements"
FB00131,ATT00131,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00132,ATT00132,5DC0AXXL,2,Technical issues disrupted the flow
FB00133,ATT00133,5DC0AXXL,2,Content felt disorganized
FB00134,ATT00134,5DC0AXXL,3,Solid content but slides need improvement
